#
#This data represents the results of running the PAGER exposure and loss
#algorithms on the output from ShakeMap.
#
#Notes: "Total" in the country column indicates that the results in that row are
#the sum of exposures/losses for all affected countries.
#
#"predicted_fatalities" and "predicted_dollars" are the results of applying loss
#models to the exposure data - note that these values are not guaranteed to
#match the actual losses from the earthquake.
#
id,location,time,latitude,longitude,depth,magnitude,country,pager_version,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9,mmi10,predicted_fatalities,fatality_sigma,predicted_dollars,dollars_sigma
us700058yy,"131km S of Bristol Island, South Sandwich Islands",2019-08-27 23:55:19.187,-60.2152,-26.5801,16,6.6,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
us70005lfd,"11km S of Kairatu, Indonesia",2019-09-25 23:46:43.543,-3.4528,128.3699,12.26,6.5,Total,1,0,0,90160,319636,265840,323202,158106,0,0,0,1,3.0,1136700,2806200.0
us70005nie,"69km WSW of Constitucion, Chile",2019-09-29 15:57:53.236,-35.4758,-73.163,11,6.7,Total,1,0,0,38125,3243721,86589,46426,0,0,0,0,0,2.0,7035,14479.0
us6000645n,"10km NE of Columbio, Philippines",2019-10-29 01:04:43.879,6.7567,125.0082,15,6.6,Total,1,0,24742,4942634,10856106,5342444,2466263,651719,0,0,0,0,2.0,1256841,3670941.0
us700061e9,"2km ESE of Kisante, Philippines",2019-10-31 01:11:19.146,6.9098,125.1782,10,6.5,Total,1,0,2113,4584372,10539418,5542486,1164933,409179,0,0,0,0,2.0,788744,2303739.0
us7000635e,"136km W of Neiafu, Tonga",2019-11-04 22:43:32.280,-18.5747,-175.272,10,6.6,Total,1,0,0,67105,20779,0,0,0,0,0,0,0,2.0,0,2.0
us6000693m,"166km SSW of Ndoi Island, Fiji",2019-11-08 10:44:44.338,-21.9449,-179.5113,577,6.5,Total,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0,1.0
us60006bjl,"138km E of Bitung, Indonesia",2019-11-14 16:17:40.578,1.6213,126.4156,33,7.1,Total,1,0,0,23463,2800298,637788,0,0,0,0,0,0,1.0,0,1.0
us60006rp9,"7km S of Magsaysay, Philippines",2019-12-15 06:11:51.155,6.6969,125.1739,18,6.8,Total,1,0,517579,8470660,10947836,4227049,4070433,707387,0,0,0,0,2.0,1365496,3988298.0
us60007ewc,"13km N of Doganyol, Turkey",2020-01-24 17:55:14.147,38.4312,39.0609,10,6.7,Total,1,0,0,3356146,35311381,3955602,1552174,647416,64759,7569,0,275,656.0,782279461,2026843557.0
